Date,Asset,PnL,Type,Equity
2026-07-21 09:30:00-04:00,Zloto (XAU),-30.25,SL,4623.75
2026-07-29 14:30:00-04:00,Zloto (XAU),-30.25,SL,4593.5
2026-08-18 10:30:00-04:00,Zloto (XAU),-30.25,SL,4563.25
2026-08-19 09:30:00-04:00,Nasdaq 100,-30.25,SL,4533.0
2026-08-28 09:30:00-04:00,GER40 (DAX),74.75,TP,4607.75
2026-09-08 09:30:00-04:00,Zloto (XAU),-30.25,SL,4577.5
2026-09-08 15:30:00-04:00,GER40 (DAX),-30.25,SL,4547.25
2026-09-14 09:30:00-04:00,Nasdaq 100,-30.25,SL,4517.0
2026-09-16 14:30:00-04:00,Zloto (XAU),74.75,TP,4591.75
2026-09-24 09:30:00-04:00,Nasdaq 100,-30.25,SL,4561.5
